"","dates","positive","model1","model2","model3","model4"
"1",2020-03-07,156,12.7286674149662,4.14791987041263,3.58636521924859,2.38067984711573
"2",2020-03-08,181,9.53126656323562,3.52864794290567,3.10875065459656,2.16656070337676
"3",2020-03-09,317,8.56023786328864,3.51574248780977,3.14659383821511,2.30473438832278
"4",2020-03-10,317,7.24584330837062,3.20401421254181,2.88142265955202,2.09315622796901
"5",2020-03-11,392,6.0815496895615,2.81752774722371,2.54908609329648,1.91289240112469
"6",2020-03-12,464,5.4172627477171,2.64495072150511,2.41975769469331,1.89530679820724
"7",2020-03-13,874,5.49215832440099,2.83142646215794,2.61149804197848,2.08076262578648
"8",2020-03-14,751,5.02400453880604,2.67241104085245,2.45905156724003,1.90220358303083
"9",2020-03-15,1056,4.83282193205537,2.60072772730112,2.39570046614057,1.894334073452
"10",2020-03-16,1280,4.5588550052785,2.49643311062256,2.30776766188297,1.84010455091144
"11",2020-03-17,2184,4.80666012894317,2.68066246314917,2.48639482570092,2.00822288033365
"12",2020-03-18,2573,4.91648929288673,2.76622490476135,2.55786643413721,2.00885666900192
"13",2020-03-19,4195,5.40470112258334,3.01035379314244,2.77096305792571,2.15429364056763
"14",2020-03-20,5774,5.79807510647721,3.16112827028143,2.89032302561647,2.18173862103902
"15",2020-03-21,6527,5.90145637828445,3.11659878917213,2.83231131354765,2.10766010698636
"16",2020-03-22,8956,5.96346280887945,3.07517041609977,2.79313848575636,2.09639394510255
"17",2020-03-23,10675,5.79875076042805,2.96521322588395,2.69731614864672,2.03515005300515
"18",2020-03-24,10158,5.16966326292986,2.65043569649548,2.41803735999563,1.84839797694639
"19",2020-03-25,12284,4.63543668866893,2.42520594226562,2.23110533920893,1.77430387114733
"20",2020-03-26,17303,4.29561547348346,2.33610100682229,2.16924893147321,1.77434373124637
"21",2020-03-27,18673,3.91224720263932,2.2138339552998,2.06685335007196,1.70641066004099
"22",2020-03-28,19400,3.54511097546636,2.07448518532705,1.94533188209369,1.63243753668862
"23",2020-03-29,19493,3.14116172164984,1.89987123402697,1.79139360598639,1.53423351788226
"24",2020-03-30,21220,2.80212909395804,1.75801933911887,1.66937008984067,1.46985199736095
"25",2020-03-31,24481,2.59777908009528,1.69829480706477,1.62440253933513,1.46408531882088
"26",2020-04-01,25251,2.40254505804313,1.63338320602936,1.56963486864696,1.42658133073481
"27",2020-04-02,28074,2.21087105799787,1.55218803587112,1.49637861647397,1.37346094035669
"28",2020-04-03,32054,2.08574197965194,1.50714559017641,1.45840352714932,1.35789477369525
"29",2020-04-04,33536,1.9884823467263,1.47622670170217,1.43298711129455,1.34390169515961
"30",2020-04-05,25974,1.83236580308993,1.39159329231292,1.35349092260162,1.27455872813348
"31",2020-04-06,28752,1.71186988191777,1.32800703126475,1.29591830168669,1.24064256587633
"32",2020-04-07,30437,1.59952853552143,1.27156185044819,1.24594863661314,1.20819737547615
"33",2020-04-08,30133,1.500482150044,1.22353617595138,1.20324925148015,1.17948076958373
"34",2020-04-09,34346,1.43033879327581,1.19596783274578,1.17989650197221,1.16708190162745
"35",2020-04-10,34550,1.3522924512218,1.15721584811272,1.14426258081157,1.1364354627084
"36",2020-04-11,29658,1.25246678023331,1.09396586647036,1.08392999302446,1.08386419949311
"37",2020-04-12,28983,1.20739341663234,1.07694788589839,1.07050872009172,1.08529098069442
"38",2020-04-13,24948,1.13692278438114,1.03665832328699,1.03303213945291,1.0494641518524
"39",2020-04-14,25699,1.0740256534863,0.998835248041881,0.997325508990714,1.02045215002663
"40",2020-04-15,30183,1.04573063828559,0.992064238582623,0.993039838819002,1.0237047595384
"41",2020-04-16,30604,1.00699003211864,0.973353546954887,0.975682019213516,1.00443274387783
"42",2020-04-17,31260,0.97798834470339,0.959739263373888,0.962769112648395,0.992407658839354
"43",2020-04-18,27662,0.961113226355334,0.955620802673082,0.959429958705682,0.989573736791463
"44",2020-04-19,27021,0.949102931035342,0.954023633961841,0.958180577314342,0.986209419570045
